Title,Production,Episodes,Source,Genre,Airdate,Rating,Voters,Theme
JoJo no Kimyou na Bouken (TV),David Production,26,Manga,"Action,Adventure,Supernatural","Oct 6, 2012, 00:30 (JST)",7.95,"1,257,166",Vampire
Overlord,Madhouse,13,Light novel,"Action,Adventure,Fantasy,Supernatural","Jul 7, 2015, 23:00 (JST)",7.93,"1,241,273",Game
Durarara!!,Brain's Base,24,Light novel,"Action,Mystery,Supernatural","Jan 8, 2010, 01:25 (JST)",8.14,"1,233,613",Aniplex of America
Noragami Aragoto,Bones,13,Manga,"Action,Adventure,Comedy,Supernatural","Oct 3, 2015, 01:05 (JST)",8.18,"1,226,381",Shounen
Black Clover,Studio Pierrot,170,Manga,"Action,Comedy,Fantasy","Oct 3, 2017, 18:25 (JST)",8.07,"1,187,574",Shounen
Tate no Yuusha no Nariagari,Kinema Citrus,25,Light novel,"Action,Adventure,Drama,Fantasy","Jan 9, 2019, 22:00 (JST)",8.02,"1,181,311",Funimation
Ansatsu Kyoushitsu 2nd Season,Lerche,25,Manga,"Action,Comedy","Jan 8, 2016, 01:25 (JST)",8.52,"1,128,149",School
Mob Psycho 100 II,Bones,13,Web manga,"Action,Comedy,Slice of Life,Supernatural","Jan 7, 2019, 23:00 (JST)",8.82,"1,104,869",Funimation
Owari no Seraph,Wit Studio,12,Manga,"Action,Drama,Supernatural","Apr 4, 2015, 22:00 (JST)",7.49,"1,076,517","Military,Vampire"
Deadman Wonderland,Manglobe,12,Manga,"Action,Horror,Sci-Fi,Supernatural","Apr 17, 2011, 01:00 (JST)",7.18,"1,067,178",Shounen
Guilty Crown,Production I.G,22,Original,"Action,Drama,Romance,Sci-Fi","Oct 14, 2011, 01:15 (JST)",7.46,"1,066,434","Mecha,Super Power"
Tensei shitara Slime Datta Ken,8bit,24,Manga,"Action,Adventure,Comedy,Fantasy","Oct 2, 2018, 00:00 (JST)",8.12,"1,034,099",Demons
Samurai Champloo,Manglobe,26,Original,"Action,Adventure,Comedy","May 20, 2004, 10:30 (JST)",8.50,"1,032,846","Historical,Samurai"
Dragon Ball Z,Toei Animation,291,Manga,"Action,Adventure,Comedy,Fantasy","Apr 26, 1989, 19:00 (JST)",8.15,"1,032,170","Martial Arts,Super Power"
Bungou Stray Dogs,Bones,12,Manga,"Action,Comedy,Mystery,Supernatural","Apr 7, 2016, 01:05 (JST)",7.81,"1,028,453",Super Power
Mononoke Hime,Studio Ghibli,1,Original,"Action,Adventure,Fantasy",,8.69,"1,019,713",GKIDS
Kuroshitsuji,A-1 Pictures,24,Manga,"Action,Comedy,Mystery,Supernatural","Oct 3, 2008",7.70,"1,005,763","Demons,Historical"
Log Horizon,Satelight,25,Light novel,"Action,Adventure,Fantasy","Oct 5, 2013, 17:30 (JST)",7.96,"973,357",Game
Enen no Shouboutai,David Production,24,Manga,"Action,Supernatural","Jul 6, 2019, 01:25 (JST)",7.68,"960,952",Shounen
Vinland Saga,Wit Studio,24,Manga,"Action,Adventure,Drama","Jul 8, 2019, 00:10 (JST)",8.73,"957,498",Historical
Fate/Zero 2nd Season,ufotable,12,Light novel,"Action,Fantasy,Supernatural","Apr 8, 2012, 00:00 (JST)",8.58,"938,598",Aniplex of America
Nanatsu no Taizai: Imashime no Fukkatsu,A-1 Pictures,24,Manga,"Action,Adventure,Fantasy,Supernatural","Jan 13, 2018, 06:30 (JST)",7.68,"925,336",Shounen
Tokyo Ghoul:re,Pierrot Plus,12,Manga,"Action,Drama,Horror,Mystery,Supernatural","Apr 3, 2018, 23:00 (JST)",6.41,"913,046",Psychological
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,David Production,24,Manga,"Action,Adventure,Drama,Supernatural","Apr 5, 2014, 00:30 (JST)",8.09,"906,069",Shounen
Dororo,MAPPA,24,Manga,"Action,Adventure,Supernatural","Jan 7, 2019, 22:30 (JST)",8.22,"905,795","Demons,Historical,Samurai"
Gintama,Sunrise,201,Manga,"Action,Comedy,Sci-Fi","Apr 4, 2006, 18:00 (JST)",8.95,"886,752","Historical,Parody,Samurai"
Magi: The Labyrinth of Magic,A-1 Pictures,25,Manga,"Action,Adventure,Fantasy","Oct 7, 2012, 17:00 (JST)",8.04,"885,991",Shounen
Mahouka Koukou no Rettousei,Madhouse,26,Light novel,"Action,Romance,Sci-Fi,Supernatural","Apr 6, 2014, 00:30 (JST)",7.46,"883,910",School
Fate/stay night: Unlimited Blade Works,ufotable,12,Visual novel,"Action,Fantasy,Supernatural","Oct 12, 2014, 00:00 (JST)",8.20,"877,869",Aniplex of America
Goblin Slayer,White Fox,12,Light novel,"Action,Adventure,Fantasy","Oct 7, 2018, 00:30 (JST)",7.43,"866,529",Funimation
Devilman: Crybaby,Science SARU,10,Manga,"Action,Avant Garde,Horror,Supernatural",,7.79,"865,609",Demons
Fate/stay night,Studio Deen,24,Visual novel,"Action,Fantasy,Romance,Supernatural","Jan 7, 2006, 01:30 (JST)",7.30,"828,373","Geneon Entertainment USA,Sentai Filmworks"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,David Production,24,Manga,"Action,Adventure,Drama,Supernatural","Jan 10, 2015, 00:30 (JST)",8.43,"826,789",Shounen
Darker than Black: Kuro no Keiyakusha,Bones,25,Original,"Action,Mystery,Sci-Fi","Apr 6, 2007",8.09,"826,201",Super Power
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,David Production,39,Manga,"Action,Adventure,Comedy,Drama,Supernatural","Apr 2, 2016, 00:30 (JST)",8.50,"825,784",Shounen
Fairy Tail (2014),A-1 Pictures,102,Manga,"Action,Adventure,Comedy,Fantasy","Apr 5, 2014, 10:30 (JST)",7.67,"822,541",Shounen
Sword Art Online: Alicization,A-1 Pictures,24,Light novel,"Action,Adventure,Fantasy,Romance","Oct 7, 2018, 00:00 (JST)",7.55,"819,357",Game
Black Lagoon,Madhouse,12,Manga,Action,"Apr 9, 2006, 02:35 (JST)",8.03,"815,789",Seinen
Black Bullet,Kinema Citrus,13,Light novel,"Action,Mystery,Sci-Fi","Apr 8, 2014, 22:30 (JST)",7.13,"802,600",Seinen
Baccano!,Brain's Base,13,Light novel,"Action,Comedy,Mystery,Supernatural","Jul 27, 2007, 00:30 (JST)",8.39,"791,247",Historical
Overlord II,Madhouse,13,Light novel,"Action,Adventure,Fantasy,Supernatural","Jan 9, 2018, 22:30 (JST)",7.76,"782,548",Game
High School DxD New,TNK,12,Light novel,"Action,Comedy,Romance,Ecchi","Jul 7, 2013, 20:30 (JST)",7.50,"779,742","Demons,Harem,School"
Boku no Hero Academia 5th Season,Bones,25,Manga,"Action,Comedy","Mar 27, 2021, 17:30 (JST)",7.47,"769,258","School,Super Power"
Hellsing Ultimate,Graphinica,10,Manga,"Action,Horror,Supernatural",,8.37,"768,654","Military,Vampire"
Rakudai Kishi no Cavalry,Nexus,12,Light novel,"Action,Fantasy,Romance,Ecchi","Oct 3, 2015, 23:00 (JST)",7.48,"767,647",School
Btooom!,Madhouse,12,Manga,"Action,Sci-Fi","Oct 4, 2012, 23:00 (JST)",7.33,"753,191",Psychological
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,David Production,39,Manga,"Action,Adventure","Oct 6, 2018, 01:05 (JST)",8.59,"733,251",Shounen
Tokyo Revengers,LIDENFILMS,24,Manga,"Action,Drama,Supernatural","Apr 11, 2021, 02:08 (JST)",8.28,"731,324",School
Kekkai Sensen,Bones,12,Manga,"Action,Comedy,Fantasy,Supernatural","Apr 5, 2015, 02:28 (JST)",7.62,"725,302","Super Power,Vampire"
Magi: The Kingdom of Magic,A-1 Pictures,25,Manga,"Action,Adventure,Fantasy","Oct 6, 2013, 17:00 (JST)",8.24,"725,056",Shounen
Youjo Senki,Nut,12,Light novel,Action,"Jan 6, 2017, 22:00 (JST)",7.98,"721,709",Military
Fate/stay night: Unlimited Blade Works 2nd Season,ufotable,13,Visual novel,"Action,Fantasy,Supernatural","Apr 5, 2015, 00:00 (JST)",8.33,"716,799",Aniplex of America
Zero no Tsukaima,J.C.Staff,13,Light novel,"Action,Adventure,Comedy,Fantasy,Romance,Ecchi","Jul 3, 2006, 00:30 (JST)",7.27,"714,781","Harem,School"
Trinity Seven,Seven Arcs Pictures,12,Manga,"Action,Comedy,Fantasy,Romance,Supernatural,Ecchi","Oct 8, 2014, 01:40 (JST)",7.10,"706,146","Harem,School"
Toaru Majutsu no Index,J.C.Staff,24,Light novel,"Action,Sci-Fi","Oct 5, 2008, 01:35 (JST)",7.40,"703,798",Super Power
Kami no Tou,Telecom Animation Film,13,Web manga,"Action,Adventure,Drama,Fantasy,Mystery","Apr 2, 2020, 00:30 (JST)",7.58,"697,635",Crunchyroll
Akatsuki no Yona,Studio Pierrot,24,Manga,"Action,Adventure,Comedy,Fantasy,Romance","Oct 7, 2014, 23:00 (JST)",8.03,"696,351",Shoujo
FLCL,Gainax,6,Original,"Action,Avant Garde,Comedy,Sci-Fi",,8.03,"688,687","Mecha,Parody,Psychological"
Boruto: Naruto Next Generations,Studio Pierrot,?,Manga,"Action,Adventure","Apr 5, 2017, 17:30 (JST)",5.89,"685,590","Martial Arts,Super Power"
Koutetsujou no Kabaneri,Wit Studio,12,Original,"Action,Drama,Fantasy,Horror,Supernatural","Apr 8, 2016, 00:55 (JST)",7.26,"678,892","Crunchyroll,Funimation"
High School DxD BorN,TNK,12,Light novel,"Action,Comedy,Romance,Ecchi","Apr 4, 2015, 23:00 (JST)",7.43,"677,160","Demons,Harem,School"
Overlord III,Madhouse,13,Light novel,"Action,Fantasy,Supernatural","Jul 10, 2018, 22:00 (JST)",7.92,"675,945",Game
The God of High School,MAPPA,13,Web manga,"Action,Adventure,Comedy,Fantasy,Sci-Fi,Supernatural","Jul 6, 2020, 23:30 (JST)",7.06,"674,698",Martial Arts
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",A-1 Pictures,12,Light novel,"Action,Adventure,Fantasy","Jul 4, 2015, 00:30 (JST)",7.71,"673,376",Military
InuYasha,Sunrise,167,Manga,"Action,Adventure,Comedy,Fantasy,Romance,Supernatural","Oct 16, 2000, 19:00 (JST)",7.85,"669,761","Demons,Historical"
K,GoHands,13,Original,"Action,Mystery,Supernatural","Oct 5, 2012",7.46,"669,287",Super Power
Akira,Tokyo Movie Shinsha,1,Manga,"Action,Adventure,Horror,Sci-Fi,Supernatural",,8.16,"668,637",Military
Dragon Ball Super,Toei Animation,131,Manga,"Action,Adventure,Comedy,Fantasy","Jul 5, 2015, 09:00 (JST)",7.41,"663,160","Martial Arts,Super Power"
Tokyo Ghoul:re 2nd Season,Pierrot Plus,12,Manga,"Action,Drama,Horror,Mystery,Supernatural","Oct 9, 2018, 23:00 (JST)",6.38,"647,025",Psychological
Accel World,Sunrise,24,Light novel,"Action,Romance,Sci-Fi","Apr 7, 2012, 00:30 (JST)",7.27,"644,627","Game,School"
Owari no Seraph: Nagoya Kessen-hen,Wit Studio,12,Manga,"Action,Drama,Supernatural","Oct 10, 2015, 22:00 (JST)",7.63,"642,888","Military,Vampire"
Bungou Stray Dogs 2nd Season,Bones,12,Manga,"Action,Mystery,Supernatural","Oct 6, 2016, 22:30 (JST)",8.20,"633,167",Super Power
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,J.C.Staff,12,Light novel,"Action,Adventure,Comedy,Fantasy,Romance","Jul 13, 2019, 00:30 (JST)",7.23,"629,935",Sentai Filmworks
Ao no Exorcist: Kyoto Fujouou-hen,A-1 Pictures,12,Manga,"Action,Fantasy,Supernatural","Jan 7, 2017, 01:55 (JST)",7.38,"629,815",Demons
Banana Fish,MAPPA,24,Manga,"Action,Adventure,Drama","Jul 6, 2018, 00:55 (JST)",8.51,"626,940",Shoujo
Tensei shitara Slime Datta Ken 2nd Season,8bit,12,Light novel,"Action,Adventure,Comedy,Fantasy","Jan 12, 2021, 23:00 (JST)",8.41,"623,401",Demons
Trigun,Madhouse,26,Manga,"Action,Adventure,Comedy,Drama,Sci-Fi","Apr 1, 1998, 01:15 (JST)",8.22,"622,999",Shounen
D.Gray-man,TMS Entertainment,103,Manga,"Action,Adventure,Comedy","Oct 3, 2006, 18:00 (JST)",8.03,"616,526","Demons,Super Power"
Hai to Gensou no Grimgar,A-1 Pictures,12,Light novel,"Action,Adventure,Drama,Fantasy","Jan 11, 2016, 00:30 (JST)",7.66,"612,795",Funimation
Hellsing,Gonzo,13,Manga,"Action,Horror,Supernatural","Oct 11, 2001",7.49,"611,311",Vampire
Sword Art Online Movie: Ordinal Scale,A-1 Pictures,1,Original,"Action,Adventure,Fantasy,Romance",,7.59,"602,607",Game
Blood Lad,Brain's Base,10,Manga,"Action,Comedy,Supernatural","Jul 8, 2013, 00:30 (JST)",7.29,"602,113","Demons,Vampire"
Nanatsu no Taizai: Seisen no Shirushi,A-1 Pictures,4,Manga,"Action,Adventure,Fantasy,Supernatural","Aug 28, 2016, 17:00 (JST)",7.03,"594,586",Shounen
Claymore,Madhouse,26,Manga,"Action,Adventure,Fantasy,Supernatural","Apr 4, 2007",7.76,"589,835","Demons,Super Power"
Boku no Hero Academia the Movie 1: Futari no Hero,Bones,1,Manga,Action,,7.62,"582,169",Super Power
Rokudenashi Majutsu Koushi to Akashic Records,LIDENFILMS,12,Light novel,"Action,Fantasy","Apr 4, 2017, 20:30 (JST)",7.16,"576,443",School
91 Days,Shuka,12,Original,"Action,Drama","Jul 9, 2016, 01:55 (JST)",7.83,"575,450",Historical
Psycho-Pass 2,Tatsunoko Production,11,Original,"Action,Sci-Fi,Suspense","Oct 10, 2014, 00:50 (JST)",7.41,"566,617","Police,Psychological"
Nanatsu no Taizai: Kamigami no Gekirin,Studio Deen,24,Manga,"Action,Adventure,Fantasy,Supernatural","Oct 9, 2019, 17:55 (JST)",6.45,"566,225",Shounen
Kore wa Zombie Desu ka?,Studio Deen,12,Light novel,"Action,Comedy,Supernatural,Ecchi","Jan 11, 2011",7.39,"566,144",Harem
Sword Art Online: Alicization - War of Underworld,A-1 Pictures,12,Light novel,"Action,Adventure,Fantasy,Romance","Oct 13, 2019, 00:00 (JST)",7.58,"564,780",Game
IS: Infinite Stratos,8bit,12,Light novel,"Action,Comedy,Sci-Fi,Ecchi","Jan 7, 2011, 01:25 (JST)",6.68,"561,052","Harem,Mecha"
Shinmai Maou no Testament,Production IMS,12,Light novel,"Action,Fantasy,Romance,Ecchi","Jan 8, 2015, 02:00 (JST)",6.75,"560,972","Demons,Harem"
Strike the Blood,Connect,24,Light novel,"Action,Fantasy,Supernatural,Ecchi","Oct 4, 2013, 23:30 (JST)",7.08,"559,568","Harem,School,Vampire"
Gakusen Toshi Asterisk,A-1 Pictures,12,Light novel,"Action,Comedy,Fantasy,Romance,Sci-Fi,Supernatural,Ecchi","Oct 3, 2015, 20:30 (JST)",6.85,"558,831","Harem,School"
Yuu☆Yuu☆Hakusho,Studio Pierrot,112,Manga,"Action,Comedy,Supernatural","Oct 10, 1992",8.45,"557,841","Demons,Martial Arts"
Dragon Ball GT,Toei Animation,64,Manga,"Action,Adventure,Comedy,Fantasy,Sci-Fi","Feb 7, 1996, 19:00 (JST)",6.46,"538,945",Super Power
Rokka no Yuusha,Passione,12,Light novel,"Action,Adventure,Fantasy,Mystery","Jul 5, 2015, 02:58 (JST)",7.31,"538,277",Ponycan USA
Log Horizon 2nd Season,Studio Deen,25,Light novel,"Action,Adventure,Fantasy","Oct 4, 2014, 17:30 (JST)",7.60,"537,621",Game
Pokemon,OLM,276,Game,"Action,Adventure,Comedy,Fantasy","Apr 1, 1997, 19:00 (JST)",7.35,"535,146",Kids
Zetsuen no Tempest,Bones,24,Manga,"Action,Drama,Fantasy,Mystery","Oct 5, 2012, 02:00 (JST)",7.95,"528,942",Psychological
Enen no Shouboutai: Ni no Shou,David Production,24,Manga,"Action,Supernatural","Jul 4, 2020, 01:55 (JST)",7.76,"524,406",Shounen
Toaru Kagaku no Railgun,J.C.Staff,24,Manga,"Action,Sci-Fi","Oct 3, 2009, 01:30 (JST)",7.69,"521,365",Super Power
Koukaku Kidoutai,Production I.G,1,Manga,"Action,Sci-Fi",,8.28,"520,754","Mecha,Police,Psychological"
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",SILVER LINK.,13,Light novel,"Action,Fantasy","Jul 4, 2020, 23:30 (JST)",7.36,"519,877","Demons,School"
Inuyashiki,MAPPA,11,Manga,"Action,Drama,Sci-Fi","Oct 13, 2017, 00:55 (JST)",7.67,"519,505",Psychological
Beelzebub,Pierrot Plus,60,Manga,"Action,Comedy,Supernatural","Jan 9, 2011",7.88,"517,610","Demons,School"
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,Diomedéa,10,Light novel,"Action,Comedy,Fantasy,Supernatural","Jan 12, 2013, 01:30 (JST)",7.50,"510,677",Sentai Filmworks
Higashi no Eden,Production I.G,11,Original,"Action,Drama,Mystery,Romance,Sci-Fi,Suspense","Apr 10, 2009, 00:45 (JST)",7.79,"506,163",Funimation
Ajin,Polygon Pictures,13,Manga,"Action,Horror,Mystery,Supernatural","Jan 16, 2016, 01:55 (JST)",7.44,"505,360",Seinen
Sword Art Online Alternative: Gun Gale Online,Studio 3Hz,12,Light novel,"Action,Fantasy,Sci-Fi","Apr 8, 2018, 00:00 (JST)",7.02,"503,569","Game,Military"
Katekyo Hitman Reborn!,Artland,203,Manga,"Action,Comedy","Oct 7, 2006, 10:30 (JST)",8.15,"499,608",Super Power
Kenpuu Denki Berserk,OLM,25,Manga,"Action,Adventure,Drama,Fantasy,Horror,Supernatural","Oct 8, 1997, 01:45 (JST)",8.51,"493,218","Demons,Military"
Kuroshitsuji II,A-1 Pictures,12,Manga,"Action,Comedy,Supernatural","Jul 2, 2010",7.18,"492,880","Demons,Historical"
Katanagatari,White Fox,12,Light novel,"Action,Adventure,Romance","Jan 26, 2010, 01:10 (JST)",8.34,"492,643","Historical,Martial Arts"
Shakugan no Shana,J.C.Staff,24,Light novel,"Action,Drama,Fantasy,Romance,Supernatural","Oct 6, 2005, 00:45 (JST)",7.48,"490,459",School
Hunter x Hunter,Nippon Animation,62,Manga,"Action,Adventure,Fantasy","Oct 16, 1999, 18:00 (JST)",8.40,"489,052",Super Power
Gangsta.,Manglobe,12,Manga,"Action,Drama","Jul 2, 2015, 02:44 (JST)",7.40,"488,510",Seinen
Gintama°,Bandai Namco Pictures,51,Manga,"Action,Comedy,Sci-Fi","Apr 8, 2015, 18:00 (JST)",9.09,"484,718","Historical,Parody,Samurai"
God Eater,ufotable,13,Game,"Action,Fantasy,Sci-Fi","Jul 12, 2015, 22:30 (JST)",7.24,"479,931",Military
Absolute Duo,8bit,12,Light novel,"Action,Romance,Supernatural,Ecchi","Jan 4, 2015, 20:30 (JST)",6.47,"478,757","Harem,School"
Arifureta Shokugyou de Sekai Saikyou,asread.,13,Light novel,"Action,Adventure,Fantasy","Jul 8, 2019, 23:30 (JST)",6.64,"474,136",Harem
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",A-1 Pictures,12,Light novel,"Action,Adventure,Fantasy","Jan 9, 2016, 01:05 (JST)",7.74,"466,194",Military
Drifters,Hoods Drifters Studio,12,Manga,"Action,Adventure,Comedy,Fantasy","Oct 7, 2016, 23:00 (JST)",7.92,"465,988","Historical,Samurai"
Aldnoah.Zero,A-1 Pictures,12,Original,"Action,Sci-Fi","Jul 6, 2014, 00:00 (JST)",7.41,"464,190","Mecha,Military"
The Last: Naruto the Movie,Studio Pierrot,1,Manga,"Action,Romance",,7.77,"462,602","Martial Arts,Super Power"
Great Pretender,Wit Studio,23,Original,"Action,Adventure,Comedy,Mystery","Jul 9, 2020, 00:55 (JST)",8.29,"459,530",Psychological
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,White Fox,12,Light novel,"Action,Adventure,Comedy,Fantasy","Oct 2, 2019, 22:30 (JST)",7.51,"459,200",Funimation
Musaigen no Phantom World,Kyoto Animation,13,Light novel,"Action,Comedy,Fantasy,Slice of Life,Supernatural","Jan 7, 2016, 00:00 (JST)",6.87,"454,500","Crunchyroll,Funimation"
